  2  1  +1   1.510   +0.72081
  2  1  +1   2.440   +0.11532
  2  1  +1   3.920   +0.24859
  3  2  +1   1.600   +0.05473
  3  2  +1   2.400   +0.00403
  4  3  +1   1.950   +0.00935
  4  3  +3   1.950   -0.02691
