 0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 0.10000000E-01 -0.46622852E-09 -0.35544539E-09 -0.38682749E-08 -0.36522454E-09  0.45499603E-06 -0.42419419E-07
 0.20000000E-01 -0.14304513E-07 -0.10906228E-07 -0.11868401E-06 -0.11207203E-07  0.13960643E-04 -0.13014248E-05
 0.30000000E-01 -0.10122127E-06 -0.77182832E-07 -0.83983091E-06 -0.79323530E-07  0.98797327E-04 -0.92084612E-05
 0.40000000E-01 -0.38602114E-06 -0.29439473E-06 -0.32028165E-05 -0.30261614E-06  0.37683044E-03 -0.35114675E-04
 0.50000000E-01 -0.10342594E-05 -0.78894293E-06 -0.85812558E-05 -0.81116456E-06  0.10098367E-02 -0.94073794E-04
 0.60000000E-01 -0.21884252E-05 -0.16698577E-05 -0.18157340E-04 -0.17173652E-05  0.21373392E-02 -0.19904059E-03
 0.70000000E-01 -0.38868609E-05 -0.29670507E-05 -0.32249002E-04 -0.30524155E-05  0.37975806E-02 -0.35351217E-03
 0.80000000E-01 -0.59980260E-05 -0.45812040E-05 -0.49764331E-04 -0.47146057E-05  0.58634161E-02 -0.54558089E-03
 0.90000000E-01 -0.82006256E-05 -0.62685495E-05 -0.68036504E-04 -0.64533544E-05  0.80228831E-02 -0.74616821E-03
 0.10000000E+00 -0.10026062E-04 -0.76731135E-05 -0.83175892E-04 -0.79020351E-05  0.98205239E-02 -0.91292023E-03
 0.11000000E+00 -0.10958679E-04 -0.84030316E-05 -0.90901859E-04 -0.86562822E-05  0.10755087E-01 -0.99933323E-03
 0.12000000E+00 -0.10568910E-04 -0.81320202E-05 -0.87647737E-04 -0.83784840E-05  0.10409376E-01 -0.96682999E-03
 0.13000000E+00 -0.86418128E-05 -0.66974642E-05 -0.71627783E-04 -0.68991637E-05  0.85757108E-02 -0.79637598E-03
 0.14000000E+00 -0.52628706E-05 -0.41660522E-05 -0.43549578E-04 -0.42852544E-05  0.53398106E-02 -0.49618501E-03
 0.15000000E+00 -0.83420788E-06 -0.84645096E-06 -0.67489633E-05 -0.85394252E-06  0.10968900E-02 -0.10310519E-03
 0.16000000E+00  0.39863571E-05  0.27568438E-05  0.33315571E-04  0.28742457E-05 -0.35074871E-02  0.32296873E-03
 0.17000000E+00  0.84100320E-05  0.60383635E-05  0.70098053E-04  0.62729544E-05 -0.76988103E-02  0.71041293E-03
 0.18000000E+00  0.11675722E-04  0.84125662E-05  0.97282286E-04  0.87348972E-05 -0.10728263E-01  0.99020439E-03
 0.19000000E+00  0.13205276E-04  0.94323115E-05  0.11007093E-03  0.97947732E-05 -0.12024179E-01  0.11098826E-02
 0.20000000E+00  0.12720513E-04  0.88783584E-05  0.10615746E-03  0.92226339E-05 -0.11306373E-01  0.10440172E-02
 0.21000000E+00  0.10298246E-04  0.68016778E-05  0.86183359E-04  0.70686228E-05 -0.86401036E-02  0.79906277E-03
 0.22000000E+00  0.63551148E-05  0.35122549E-05  0.53612447E-04  0.36522538E-05 -0.44216228E-02  0.41189899E-03
 0.23000000E+00  0.15698448E-05 -0.47990725E-06  0.14085459E-04 -0.49811314E-06  0.69734914E-03 -0.57231389E-04
 0.24000000E+00 -0.32372994E-05 -0.45565747E-05 -0.25581104E-04 -0.47402087E-05  0.59270005E-02 -0.53558863E-03
 0.25000000E+00 -0.72418103E-05 -0.80960124E-05 -0.58535370E-04 -0.84266631E-05  0.10473284E-01 -0.95025867E-03
 0.26000000E+00 -0.97428972E-05 -0.10570759E-04 -0.78953099E-04 -0.11006973E-04  0.13662823E-01 -0.12395976E-02
 0.27000000E+00 -0.10261201E-04 -0.11622461E-04 -0.82849504E-04 -0.12105880E-04  0.15038464E-01 -0.13619371E-02
 0.28000000E+00 -0.85936502E-05 -0.11104085E-04 -0.68535061E-04 -0.11567935E-04  0.14413123E-01 -0.13004400E-02
 0.29000000E+00 -0.48220262E-05 -0.90868341E-05 -0.36686677E-04 -0.94652962E-05  0.11878534E-01 -0.10638140E-02
 0.30000000E+00  0.72010100E-06 -0.58352663E-05  0.99270394E-05 -0.60722877E-05  0.77733995E-02 -0.68331727E-03
 0.31000000E+00  0.75116200E-05 -0.17585480E-05  0.66979680E-04 -0.18148974E-05  0.26210701E-02 -0.20699412E-03
 0.32000000E+00  0.14925938E-04  0.26519883E-05  0.12926898E-03  0.27942065E-05 -0.29502357E-02  0.30765904E-03
 0.33000000E+00  0.22317233E-04  0.68885910E-05  0.19143356E-03  0.72243007E-05 -0.82914045E-02  0.80138473E-03
 0.34000000E+00  0.29099126E-04  0.10487161E-04  0.24860678E-03  0.10989465E-04 -0.12809132E-01  0.12201657E-02
 0.35000000E+00  0.34807174E-04  0.13075063E-04  0.29693594E-03  0.13698757E-04 -0.16026954E-01  0.15207736E-02
 0.36000000E+00  0.39140233E-04  0.14402886E-04  0.33392594E-03  0.15089680E-04 -0.17625761E-01  0.16744311E-02
 0.37000000E+00  0.41979278E-04  0.14359039E-04  0.35859549E-03  0.15043759E-04 -0.17462404E-01  0.16684635E-02
 0.38000000E+00  0.43385183E-04  0.12968313E-04  0.37145845E-03  0.13585321E-04 -0.15567816E-01  0.15060806E-02
 0.39000000E+00  0.43579062E-04  0.10377118E-04  0.37436012E-03  0.10866320E-04 -0.12128129E-01  0.12046100E-02
 0.40000000E+00  0.42909953E-04  0.68290383E-05  0.37020839E-03  0.71409578E-05 -0.74534403E-02  0.79261169E-03
