 0.1387942405035776918462153695D-02 -0.1423561977945635766834575620D-02
-0.1560929229124964068287084729D+00 -0.2645728722199923721447589742D+00
-0.9625293121328386547475020052D+01 -0.3365440530179265365973151347D+01
 0.2724028886330302420826221521D-01 -0.8117094335869906585045896463D-01
 0.2660372584485052802061311183D-01  0.4768168277583510056283344625D-01
 0.1352324638013579216622161994D+00  0.1157031383313981975913264932D+00
-0.6662603610607729931469833673D-01  0.7152118767648556196814269015D-01
 0.7895684156179358370586385263D-01 -0.6745502886930453134706198171D-01
 0.1994831469141071858541813810D-01  0.6579039576781964271390279464D-02
-0.4859067017864419912864804019D-02 -0.3676607052235804362627646924D-02
 0.1889832709535702037761950578D-02  0.6161342390045357331196385076D-03
 0.2239186112167849268539399077D-01 -0.2644640584132015165286233582D-01
-0.1299137744312901798782178275D-02  0.3763508334774565144975611020D-01
 0.1807133101695260896102368520D-01  0.1283516770108762000690560967D-01
-0.1186708653677406855031506439D-01 -0.1990071246095598267444870544D-02
-0.5125355634312888514214634483D-01  0.4667783435865729795011258574D-02
 0.9354025903095553040600407257D-01  0.4725641337990934415236310429D-01
 0.1874984961654576398615290600D+01  0.5538936839056866068276008264D+00
 0.1146984014154302400356755243D+02  0.3975420399886414379864163493D+01
-0.9229332353892596430000594410D+01 -0.2361716930703501304833480390D+01
 0.7668868307592942024086823949D+01  0.3440265648685189248112692439D+01
-0.7184933449923508241852232459D+01 -0.4190243161568303342789931776D+01
 0.7606124264619699815170861257D+01  0.4556962653329289736348073347D+01
-0.5534352232328899390267906711D+01 -0.5104861190066638521045661037D+01
 0.6380919157709933564603943523D+01  0.5267270406631275214692777809D+01
-0.3205940235974005680930076778D+01 -0.5191344532995977978373502992D+01
 0.2548371826026889053196100576D+01  0.4588650900566181078943372995D+01
 0.1802754729134113498290048483D+01 -0.3397663708314617281303071650D+01
-0.2504332257035162268010708431D+01  0.1851715065877183485909540650D+01
 0.3135317300206177382193573067D+01 -0.5420068412209604336027268801D+00
 0.6413481040322682865881254166D-03  0.9573368657946447826678770809D-03
-0.1274236681798299741785740480D+01  0.1031281385511085002537612354D+00
 0.4648517993325553021577434265D+02  0.9918538871715295579534199533D+00
 0.6302672066226971958613489733D+00 -0.1938812140529546923506387657D+00
 0.2903685656376626122998629853D+00  0.1920374009921144986545726852D+00
 0.1222506054181935031266448277D+01 -0.1062257743651062180667565826D+00
-0.1492290313717144767391431515D+00  0.2221103035080323750971587060D+00
