-0.3264688433674699957233455994D-03 -0.1280133343342107467776550683D-05
 0.2296633580695569502166941689D-02  0.1610088111097969336416024788D-02
 0.2125407323558085436604470075D-02  0.2300751796993008991935869556D-03
-0.3968395653761219905603790936D-04 -0.8442641513023680066270595934D-05
 0.5364481745239159599450418092D-03  0.7797935250009898179926470796D-03
-0.5905758176293428307612742856D-02 -0.1221822586454375959147400366D-02
 0.3821127170004377446299592691D-04  0.6999207764453761271630782836D-04
-0.1479714455832783874533742363D-03 -0.6882666343520664128941000115D-04
 0.1303156883595283288199140337D-04 -0.9425653379940346961868291586D-05
 0.8777525653209689027178797005D-02  0.7229023879499499316558797091D-01
 0.1952812230176842380607871164D-04  0.2105992415172349297575182803D-04
-0.8760411375519949782938317062D-05 -0.4693179355729267400020726653D-05
 0.1999586875063272088659527270D-02  0.2971459007572273963715403511D-01
-0.5212163428604006388785221948D-04  0.6030254595108722854516353218D-05
-0.1157786304569664338759427125D-01 -0.9079664579868315654742616516D-01
-0.2161470167086118349814016781D-02  0.1807971314710745324924601185D-02
 0.2243005145311481249303930952D-01  0.1152598300071483406956107665D-02
 0.1045352336806035231653311257D-01 -0.2993499081529748823832237647D-02
 0.2584732564055141623704514586D+00 -0.3512405124855530556132743314D-02
 0.1328674818271764479504781775D+01 -0.2279909155528432873616395682D+00
-0.5121074557219558620602128940D+01  0.1137017131843913286814995445D+01
 0.1509370944858274121713748173D+02 -0.3283924317717838992081169636D+01
-0.3502364136943832306769763818D+02  0.8271075784385153895073017338D+01
 0.7291682654800155205521150492D+02 -0.1769373802532725292735449329D+02
-0.1394276200638298632838996127D+03  0.3448974303373885419432554045D+02
 0.2499481195891932543418079149D+03 -0.6254040852781072601374035003D+02
-0.4126303354948008177416340914D+03  0.1032209399740666242450970458D+03
 0.5947449918390810807977686636D+03 -0.1491496310256784170178434579D+03
-0.6667533428275040705557330512D+03  0.1676541388515762776023620972D+03
 0.4300043316242175137631420512D+03 -0.1081309930325432873132740497D+03
-0.4027922362530214801801253799D-02  0.1399231988729190230211218982D-02
 0.6056046191479971460558395790D-02  0.4554716066754548389750034687D-02
 0.1494306886155355625078744453D-01  0.1533730162380371637997900081D-01
-0.9749411704324404065805098618D-03 -0.1017300870824466635031213535D-02
 0.1924650693352451813478154463D-02 -0.1514300872592819723061463577D-03
-0.1387636482829794799809253192D-01 -0.6140110332280412225314236707D-02
-0.1421094441306485628429001622D-04  0.2690230928831229212719322597D-03
-0.1393723997577703092864975787D-03 -0.1063035559196596731637574074D-02
 0.5264492024262073209539547491D-04  0.1722937566825616731436277007D-05
-0.9939390085420232723301126043D-01  0.1373260816367807835014502871D+00
 0.9582860829061325136368765243D-04  0.1754153158250715532212593573D-03
-0.7495892460583728367923272984D-05 -0.3276312825301264585950433705D-04
-0.2413292913271932512569994955D-02  0.5141380860427319232641707458D-01
-0.5414255651003821114995370745D-04 -0.3922706517986033819198055106D-04
 0.8051732063850232379298432761D-01 -0.1748836562530038385432362702D+00
 0.2320202995704446352620564653D-01 -0.8017246587397393320362226632D-02
-0.1052487411513386428296712438D+00 -0.2605193092946684208649488212D-02
-0.1481373647212812505458146006D+00  0.8140036905923521415306964855D-01
 0.7784870765492658550854798705D+00 -0.1019795236706465824116918384D+00
 0.5771393866355158053238483262D+01  0.3559320263879909851389982123D+00
-0.2518329739467923289453210600D+02 -0.2317834199026945984911662890D+01
 0.7525755058608817193999129813D+02  0.8656763616831216978653174010D+01
-0.1778943540574405801635293756D+03 -0.1958463647673685414929423132D+02
 0.3724360427258665708905027714D+03  0.4064781641570904469062952558D+02
-0.7152111340488978612484061159D+03 -0.7726023157345358072234375868D+02
 0.1284605825985002411471214145D+04  0.1372609348322325502067542402D+03
-0.2122181685412685055780457333D+04 -0.2289059322449233775387256173D+03
 0.3060321377484739514329703525D+04  0.3296622966202672841973253526D+03
-0.3432324571553858277184190229D+04 -0.3685076651175543247518362477D+03
 0.2213734611917918755352729931D+04  0.2379085266647115588511951501D+03
 0.7475057689933824710271093039D-02 -0.2090684915768832932703169547D-01
-0.7916214231093320063958884703D-01 -0.7961714437471173466676077624D-01
 0.1177149536311083294348733830D+00 -0.2710723319150779020425545696D-01
 0.2165042359406340807814750349D-01  0.1512966171891458148912601445D-01
-0.3026570325361788854623412703D-01 -0.3156091747017232551630883108D-01
 0.2251476847404606518310288266D+00  0.1228813225329147273967578258D+00
-0.9214511338976466570116485855D-04 -0.4004771095946593403858138061D-02
 0.7721399079608630769411270478D-02  0.1081188601954801049853660544D-01
-0.8366191466107741198099390090D-03  0.4068551350425685109168938425D-04
 0.3255726301604902950259656791D+01 -0.2271738263178062489089370501D+01
-0.1609605844996496448739975449D-02 -0.2637532230960325241309050170D-02
 0.2587698960600122704417413999D-03  0.5690420951512847099612590895D-03
 0.1582538800808704460010289949D+01 -0.9963510282566370168666480822D+00
 0.1240541163686225334047974478D-02  0.5590211066871365961500339736D-03
-0.4478908136572857578983075655D+01  0.2967781310133812855411861165D+01
 0.1106014144455405752431875754D-01  0.1718552444639321608033100119D+00
-0.3518732116645468394056095462D-01 -0.5187904570268082604656001422D+00
 0.2965353359868098670482083890D+00  0.4291786749460999583760667520D+00
-0.1669072896157175245335224645D+01  0.2061795078461063079888759830D+00
 0.5995256534242257373534812359D+02  0.1586071201331915370147385147D+01
-0.3031347079957776031733374111D+03 -0.1234527462606562231428597443D+02
 0.9339465812982416537124663591D+03  0.5458718905413064703679992817D+02
-0.2250815175621849903109250590D+04 -0.1125804402933069354730832856D+03
 0.4748944111812446863041259348D+04  0.2263027060843278377433307469D+03
-0.9164330532359786957385949790D+04 -0.4182156069703980847407365218D+03
 0.1649646798074218895635567605D+05  0.7264135338115702325012534857D+03
-0.2729206327294423317653127015D+05 -0.1222057066809823709263582714D+04
 0.3938288981781648908508941531D+05  0.1752706415454546913679223508D+04
-0.4418715617788591043790802360D+05 -0.1947469621248245175593183376D+04
 0.2850456762729956972179934382D+05  0.1258209425941925701408763416D+04
