 0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 0.10000000E-01  0.71307063E-02  0.20592161E-03  0.53249192E-02  0.76688678E-03  0.69799515E-01  0.10885926E-01
 0.20000000E-01  0.88372211E-02  0.36898125E-03  0.44573077E-02  0.13740261E-02  0.11925304E+00  0.19504497E-01
 0.30000000E-01  0.71816457E-02  0.45528640E-03  0.69643869E-03  0.16951220E-02  0.14163681E+00  0.24063103E-01
 0.40000000E-01  0.39113190E-02  0.44693005E-03  0.33652526E-02  0.16634923E-02  0.13437389E+00  0.23615167E-01
 0.50000000E-01  0.37351334E-03  0.34555447E-03  0.60199080E-02  0.12853492E-02  0.99932477E-01  0.18248646E-01
 0.60000000E-01  0.25210637E-02  0.17175798E-03  0.64805309E-02  0.63757074E-03  0.45598490E-01  0.90544231E-02
 0.70000000E-01  0.42849749E-02  0.39424019E-04  0.47787033E-02  0.14917206E-03  0.17809550E-01  0.21131118E-02
 0.80000000E-01  0.47966462E-02  0.24588258E-03  0.15512690E-02  0.91789353E-03  0.77980303E-01  0.13025983E-01
 0.90000000E-01  0.42115486E-02  0.40699314E-03  0.22353419E-02  0.15172178E-02  0.12344555E+00  0.21535654E-01
 0.10000000E+00  0.28588845E-02  0.49154770E-03  0.55688401E-02  0.18309553E-02  0.14571277E+00  0.25992747E-01
 0.11000000E+00  0.11384811E-02  0.48348171E-03  0.76309446E-02  0.17994389E-02  0.14076117E+00  0.25549840E-01
 0.12000000E+00  0.56570358E-03  0.38438121E-03  0.79573354E-02  0.14288379E-02  0.10963258E+00  0.20293708E-01
 0.13000000E+00  0.19488451E-02  0.21249109E-03  0.64996606E-02  0.78741454E-03  0.58048467E-01  0.11192283E-01
 0.14000000E+00  0.28198882E-02  0.13289474E-05  0.35939798E-02  0.96039817E-05  0.48098712E-02  0.11988488E-03
 0.15000000E+00  0.31095547E-02  0.21969351E-03  0.14421209E-03  0.82276968E-03  0.68069296E-01  0.11664262E-01
 0.16000000E+00  0.28558202E-02  0.40552296E-03  0.39669509E-02  0.15139099E-02  0.12111347E+00  0.21480008E-01
 0.17000000E+00  0.21765828E-02  0.52831302E-03  0.71480541E-02  0.19695045E-02  0.15534576E+00  0.27955635E-01
 0.18000000E+00  0.12347376E-02  0.56878993E-03  0.91154938E-02  0.21180174E-02  0.16547683E+00  0.30074946E-01
 0.19000000E+00  0.20463890E-03  0.52131664E-03  0.95398526E-02  0.19388209E-02  0.15016367E+00  0.27543747E-01
 0.20000000E+00  0.75583347E-03  0.39389164E-03  0.83698224E-02  0.14621289E-02  0.11196401E+00  0.20789055E-01
 0.21000000E+00  0.15248180E-02  0.20601588E-03  0.58171780E-02  0.76097695E-03  0.56689815E-01  0.10845514E-01
 0.22000000E+00  0.20259598E-02  0.14980005E-04  0.22995561E-02  0.62531493E-04  0.76677558E-02  0.83951330E-03
 0.23000000E+00  0.22300465E-02  0.23839250E-03  0.16422078E-02  0.89388323E-03  0.72224627E-01  0.12642091E-01
 0.24000000E+00  0.21490540E-02  0.43462075E-03  0.54349112E-02  0.16228596E-02  0.12848452E+00  0.22998538E-01
 0.25000000E+00  0.18270181E-02  0.57901226E-03  0.85582401E-02  0.21578634E-02  0.16943041E+00  0.30608617E-01
 0.26000000E+00  0.13285908E-02  0.65462698E-03  0.10611316E-01  0.24361872E-02  0.19030101E+00  0.34581218E-01
 0.27000000E+00  0.72744727E-03  0.65369742E-03  0.11354535E-01  0.24293985E-02  0.18899144E+00  0.34510870E-01
 0.28000000E+00  0.96741928E-04  0.57778041E-03  0.10724855E-01  0.21438349E-02  0.16607896E+00  0.30484946E-01
 0.29000000E+00  0.49858210E-03  0.43677171E-03  0.88266483E-02  0.16168565E-02  0.12452605E+00  0.23030755E-01
 0.30000000E+00  0.10067486E-02  0.24707188E-03  0.59034335E-02  0.90994265E-03  0.69142390E-01  0.13017875E-01
 0.31000000E+00  0.13915834E-02  0.29246317E-04  0.22968068E-02  0.99918051E-04  0.59070624E-02  0.15339567E-02
 0.32000000E+00  0.16328985E-02  0.19447864E-03  0.16000908E-02  0.73040936E-03  0.58754043E-01  0.10247855E-01
 0.33000000E+00  0.17254215E-02  0.40258457E-03  0.53890981E-02  0.15010827E-02  0.11864715E+00  0.21194071E-01
 0.34000000E+00  0.16764915E-02  0.57626605E-03  0.87074731E-02  0.21424494E-02  0.16838367E+00  0.30316487E-01
 0.35000000E+00  0.15032873E-02  0.70092455E-03  0.11259530E-01  0.26006872E-02  0.20380454E+00  0.36850561E-01
 0.36000000E+00  0.12298014E-02  0.76708457E-03  0.12837450E-01  0.28411605E-02  0.22223760E+00  0.40303092E-01
 0.37000000E+00  0.88392556E-03  0.77073541E-03  0.13331635E-01  0.28496271E-02  0.22258976E+00  0.40469462E-01
 0.38000000E+00  0.49493548E-03  0.71315744E-03  0.12730356E-01  0.26315197E-02  0.20529151E+00  0.37423654E-01
 0.39000000E+00  0.91319288E-04  0.60032838E-03  0.11111216E-01  0.22096694E-02  0.17212131E+00  0.31486165E-01
 0.40000000E+00  0.30089327E-03  0.44202556E-03  0.86262878E-02  0.16209050E-02  0.12594349E+00  0.23176023E-01
 0.41000000E+00  0.65932703E-03  0.25074471E-03  0.54831454E-02  0.91198465E-03  0.70394606E-01  0.13153311E-01
 0.42000000E+00  0.96596941E-03  0.40548921E-04  0.19240930E-02  0.13528597E-03  0.95503619E-02  0.21582483E-02
