 0.1357629736685055359818319332D-02  0.2845860783546616014361152480D-02
 0.2166155067215931595558942035D+00  0.1053396891688586634039381806D+00
-0.6562984667405485916802376778D-04 -0.8008792593959762704663996047D-04
 0.4255564729630002557964063570D-03 -0.2101693008929012441293737723D-02
-0.1398900464057553465202499154D-02 -0.3384514737256403421605810422D-03
 0.8652746190168925100039132303D-03 -0.7403513269187058515319321828D-04
-0.1054063969361659566792432940D-03  0.1206242148377653644608642480D-03
 0.1049383559568725643451614360D-02  0.3190834261490582690612427541D-03
-0.4250525601261025132604487453D-02 -0.3467487365105386028230061157D-02
-0.2771878295471824280027384191D-02 -0.4061034231829924005807708198D-02
-0.4672387027775046219879584442D-02  0.1588422850616976952919934263D-02
 0.9932693842236894193886698190D-02  0.9756176586292897995322803695D-02
-0.1133980303664954003561859963D-02  0.2904175541153741768596319162D-02
-0.1250501986451166627767328521D-02  0.4531084620199854473554523793D-03
 0.1523230229813427039076145775D-01 -0.1309380740454338214184826228D-01
 0.1281573697980657733364040496D+00 -0.1211598195090135415830090437D+00
 0.2222775929960277840891080814D+00 -0.7294451559198601720002130833D-01
 0.7467483510540942059918734230D+00  0.3467455485779699642101547852D+00
-0.1630614097960615627158631469D+01 -0.1022115336677945407473089290D+01
 0.3403660951087900787825901716D+01  0.2008950829402233129172827830D+01
-0.5820658792906658440813316702D+01 -0.3329216628346996831311344067D+01
 0.9376605510357416406463926251D+01  0.5376309179617257072436586895D+01
-0.1406106801599305100580750150D+02 -0.8110283331766634518089631456D+01
 0.2056326192624043969203739834D+02  0.1163627461966149745364873525D+02
-0.2872462891347470304026501253D+02 -0.1640716033595707301628863206D+02
 0.3826484852410693804358743364D+02  0.2200399291554936809234277462D+02
-0.4692277193388005684937525075D+02 -0.2690334131120041050166946661D+02
 0.4978155066916089310780080268D+02  0.2850492591730565195007329748D+02
-0.4025354205308128285878410679D+02 -0.2305654309536944879255315755D+02
 0.1820848868054520508508176135D+02  0.1042599004592656442014231288D+02
-0.1502056963784127469746509931D-02  0.3495887066204332854074676717D-02
-0.5075713151682141877074627700D+00  0.2463991157953900057453466843D+00
 0.3152657813716708279372369361D-04 -0.6119081818012350737490123720D-04
-0.1774237249834842607143503557D-02 -0.3230230928522767087918143858D-02
 0.2862030137027338910771234737D-04  0.2670225004244020095001133086D-03
-0.8152418950592467405957819437D-03  0.4865869620601769723888807562D-03
 0.8071838140340237277570167862D-05  0.4395357382049394634471184418D-04
-0.8148823343997468882093926368D-03 -0.9352318758576172452734454055D-03
-0.2212587009144640487479094304D-01 -0.1214597184064013582482921549D-01
 0.9721942166775968813263730794D-02  0.3454076968569150599130956891D-02
-0.1790257219480317560367232943D-01  0.5700657310510271608139376553D-02
 0.3339260333917010853399531811D-01 -0.6151892398898504282778176844D-01
 0.8395142047934789353291762382D-02 -0.3194451637333811655494741899D-02
 0.1705203132081056782709538311D-03 -0.3185522806732066225521293745D-03
 0.5098318424846824681306856064D-01  0.8390373850804078159626442357D-01
-0.3831681763594099732195275010D+00 -0.1510678797242137050282906330D+00
 0.3719519124296878143098865621D+01 -0.8422227261128609754337048798D+00
-0.4952514729545226757068121515D+01  0.2343194172425399290915493111D+01
 0.1099487028616688277793400630D+02 -0.3594159193630939608254948325D+01
-0.1863876411358999973799654981D+02  0.5652257926307473923088764423D+01
 0.3003604433292881026318354998D+02 -0.9615787273489596387321398652D+01
-0.4620566068597102571402501781D+02  0.1442298887936947870969106589D+02
 0.6841529133669504858517029788D+02 -0.2115807973233199845708440989D+02
-0.9796665548115248611793504097D+02  0.3100409363713302468568144832D+02
 0.1366736577907873027015739353D+03 -0.4265293649857011359927128069D+02
-0.1817566868433810327587707434D+03  0.5604186053876355089187200065D+02
 0.2222964685120736021417542361D+03 -0.6885232536207897169333591592D+02
-0.2353806908781943150188453728D+03  0.7300321553987221534498530673D+02
 0.1902659957706195257287618006D+03 -0.5898371277526939593371935189D+02
-0.8597422270442001490664551966D+02  0.2664663393024281390353280585D+02
 0.5529522024842474688111071401D-02  0.8372676138710661783437494421D-02
 0.1262972930022447703990451373D+01  0.2925317467562071338527118769D+00
-0.3265086535695627123487838617D-03  0.1172646394394794011617477736D-02
 0.3873291713946614561736581095D-02 -0.7155289662450452572994841205D-02
-0.1677543747552731612238119396D-02 -0.3955933762569176226353562242D-02
 0.1110628733739703333238679761D-02 -0.5836356964564106547532773561D-02
-0.2361648597324420006948741957D-03 -0.1206277226432558857815990905D-02
-0.1454127587405817934040896944D-03  0.6772491249822598646801452560D-02
 0.6754064326353947933512245072D-02  0.1480515070116603798533461145D-01
 0.1204595117177804756980474821D-01 -0.6822970302705433018330971606D-02
 0.1093321124736347169092987031D-01 -0.5009168366462507515635138589D-02
 0.2731310248204592977527838116D-02 -0.5246361519828064701176373319D-01
 0.7901551374298043661781321134D-02  0.4658458944110210886435652355D-02
-0.2059494634242611810215350943D-02  0.3268554113517785353337785637D-02
 0.8388514711389141731423535475D-02  0.1041824607201458641192459709D+00
 0.9302562394695170766567571263D+00 -0.4334667137104302736538841145D+00
-0.1519494476650949899010356603D+02  0.2291988160794582896073734446D+01
 0.4686530968310572831114768633D+02 -0.9300341883309934942758445686D+01
-0.9299997557249162127845920622D+02  0.1187391756288906563554519380D+02
 0.1574799947601904932525940239D+03 -0.1734007139857588697395840427D+02
-0.2472967870603952746932918672D+03  0.3345851389900083461270696716D+02
 0.3771893595475654024085088167D+03 -0.4915771790872717161846594536D+02
-0.5528381087273295406703255139D+03  0.7207232779972255798384139780D+02
 0.7900718985909103366793715395D+03 -0.1089896396317824951438524295D+03
-0.1097989228441133036540122703D+04  0.1479544001285859735617123079D+03
 0.1457731371577892332425108179D+04 -0.1917728740631521304749185219D+03
-0.1781474697127719082345720381D+04  0.2371585055091055380671605235D+03
 0.1885896850236913678600103594D+04 -0.2519392939342131398916535545D+03
-0.1523896187099868939185398631D+04  0.2035114482140974700996594038D+03
 0.6886683297957291642887867056D+03 -0.9190180454739441984202130698D+02
