 2  1  -1  1.51  0.5096896389470752
 2  1  +1  1.51  -0.5096896389470752
 2  1  -1  2.44  0.08154355400643266
 2  1  +1  2.44  -0.08154355400643266
 2  1  -1  3.92  0.17577967473516384
 2  1  +1  3.92  -0.17577967473516384
 3  2  -1  1.6  0.03869995413433974
 3  2  +1  1.6  -0.03869995413433974
 3  2  -1  2.4  0.002849640328181786
 3  2  +1  2.4  -0.002849640328181786
 4  3  -1  1.95  0.00661144840409422
 4  3  +1  1.95  -0.00661144840409422
 4  3  -3  1.95  -0.019028243481729993
 4  3  +3  1.95  0.019028243481729993
