 0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 0.10000000E-01  0.21478807E-03  0.12330999E-03  0.10174654E-02  0.31496739E-03  0.81387992E-02  0.10861992E-02
 0.20000000E-01  0.59833022E-03  0.34317997E-03  0.28305312E-02  0.87654317E-03  0.22651464E-01  0.30228791E-02
 0.30000000E-01  0.65243734E-03  0.37395053E-03  0.30832050E-02  0.95503988E-03  0.24680870E-01  0.32936334E-02
 0.40000000E-01  0.18646685E-03  0.10670952E-03  0.87876651E-03  0.27232833E-03  0.70380658E-02  0.93920533E-03
 0.50000000E-01  0.46384967E-03  0.26596285E-03  0.21938934E-02  0.67954045E-03  0.17560632E-01  0.23435955E-02
 0.60000000E-01  0.75322816E-03  0.43164330E-03  0.35587617E-02  0.11024695E-02  0.28489657E-01  0.38023296E-02
 0.70000000E-01  0.42922150E-03  0.24584849E-03  0.20255379E-02  0.62753724E-03  0.16215748E-01  0.21644549E-02
 0.80000000E-01  0.26255836E-03  0.15056333E-03  0.12432128E-02  0.38516733E-03  0.99540585E-02  0.13283736E-02
 0.90000000E-01  0.80683650E-03  0.46234805E-03  0.38126964E-02  0.11812731E-02  0.30524654E-01  0.40744291E-02
 0.10000000E+00  0.82261729E-03  0.47128693E-03  0.38843243E-02  0.12034481E-02  0.31094900E-01  0.41512481E-02
 0.11000000E+00  0.30487387E-03  0.17458212E-03  0.14363225E-02  0.44492499E-03  0.11492430E-01  0.15351423E-02
 0.12000000E+00  0.42632803E-03  0.24434489E-03  0.20177484E-02  0.62531138E-03  0.16161738E-01  0.21565205E-02
 0.13000000E+00  0.96247617E-03  0.55147077E-03  0.45479958E-02  0.14092410E-02  0.36414339E-01  0.48610129E-02
 0.14000000E+00  0.10388760E-02  0.59517247E-03  0.49050044E-02  0.15197221E-02  0.39263446E-01  0.52427180E-02
 0.15000000E+00  0.63780586E-03  0.36534284E-03  0.30069404E-02  0.93144133E-03  0.24057872E-01  0.32139823E-02
 0.16000000E+00  0.49579537E-04  0.28487741E-04  0.24156706E-03  0.75209618E-04  0.19546493E-02  0.25827457E-03
 0.17000000E+00  0.74161345E-03  0.42494962E-03  0.35090598E-02  0.10875987E-02  0.28110907E-01  0.37507892E-02
 0.18000000E+00  0.11898230E-02  0.68169944E-03  0.56219833E-02  0.17420612E-02  0.45014839E-01  0.60090004E-02
 0.19000000E+00  0.12586435E-02  0.72109673E-03  0.59412358E-02  0.18406047E-02  0.47552712E-01  0.63496812E-02
 0.20000000E+00  0.94690670E-03  0.54248402E-03  0.44630428E-02  0.13821593E-02  0.35699940E-01  0.47688375E-02
 0.21000000E+00  0.36233066E-03  0.20757900E-03  0.16980239E-02  0.52506410E-03  0.13550475E-01  0.18124121E-02
 0.22000000E+00  0.32856606E-03  0.18822169E-03  0.15659242E-02  0.48643604E-03  0.12583286E-01  0.16771817E-02
 0.23000000E+00  0.95358192E-03  0.54626732E-03  0.45148670E-02  0.14000533E-02  0.36182296E-01  0.48296044E-02
 0.24000000E+00  0.13762589E-02  0.78839596E-03  0.65046134E-02  0.20161664E-02  0.52090579E-01  0.69560110E-02
 0.25000000E+00  0.15191745E-02  0.87026962E-03  0.71707026E-02  0.22218620E-02  0.57393339E-01  0.76665288E-02
 0.26000000E+00  0.13691619E-02  0.78436125E-03  0.64527328E-02  0.19984809E-02  0.51612248E-01  0.68963736E-02
 0.27000000E+00  0.96857347E-03  0.55494565E-03  0.45524749E-02  0.14087065E-02  0.36370376E-01  0.48614110E-02
 0.28000000E+00  0.39823683E-03  0.22833205E-03  0.18536201E-02  0.57149307E-03  0.14743878E-01  0.19717643E-02
 0.29000000E+00  0.24246025E-03  0.13855263E-03  0.11733238E-02  0.36720228E-03  0.94951507E-02  0.12690838E-02
 0.30000000E+00  0.85418366E-03  0.48881579E-03  0.40585406E-02  0.12617053E-02  0.32583459E-01  0.43583932E-02
 0.31000000E+00  0.13522376E-02  0.77396383E-03  0.64022472E-02  0.19880321E-02  0.51320203E-01  0.68680382E-02
 0.32000000E+00  0.16760095E-02  0.95929787E-03  0.79189569E-02  0.24576789E-02  0.63422548E-01  0.84921393E-02
 0.33000000E+00  0.17931789E-02  0.10263199E-02  0.84573104E-02  0.26237439E-02  0.67683260E-01  0.90682732E-02
