 0.6802733299273572547399835386D-04  0.6501709887542171640260890708D-04
 0.2709733789339912094461249037D-03  0.2525700753839366986298886619D-03
 0.2835579512158215731041852048D-04  0.7265724270086462481478464109D-05
-0.9968350373458006389703472960D-06 -0.4737838693711734941275970368D-06
 0.5192866012019041119240903015D-06  0.7421887865746712442671650933D-06
 0.1415790918976177377441860727D-04 -0.5383811853184552098563336875D-05
 0.9645570022484658190189271698D-06 -0.4698896017215164447496100752D-06
 0.5987246168505971541905219535D-05  0.7171530410226092423775501317D-05
 0.3167625769208022557497927973D-05 -0.1023720160510077638283624873D-05
-0.8917225532168769000783718412D-06 -0.3561820254108452750950453147D-07
-0.2300382175752725421615223905D-06 -0.1938426962539256873780356416D-06
-0.1050894238383432701885999982D-04  0.3415002622364036869492126547D-05
-0.1757855953196082121424816472D-05 -0.3593390486645638774959414519D-05
 0.2512721129862318910144769468D-05  0.2117335010177077091707287249D-05
 0.1480270433963381011081817361D-06 -0.2550834624495585024753566139D-05
 0.1098555176409445375369441922D-04 -0.9320589145009794320578810911D-05
 0.6873091486620159541731656105D-05 -0.1384626053520919975858144424D-05
 0.4013088917139536403958649524D-04 -0.4472796751725432247599745228D-04
 0.1157466892393561262155840530D-03 -0.1552344905100997124024891916D-03
 0.9668306013735881998538701509D-03 -0.6493330688376198339684108873D-03
 0.1222089003151708916372619740D-02  0.5544418817385562189142822476D-03
 0.1616876342155852425835904640D-02 -0.1090442791411520687995528878D-03
 0.9568226625540906605041358013D-03  0.3397149572019328954419759015D-02
 0.1253100112044378336428884779D-01 -0.5286046937249366806099715177D-01
-0.8513632961640081597831652971D-01  0.2968484933795692004565580646D+00
 0.3206344352054585900013705668D+00 -0.1111527525352005607572891677D+01
-0.9452495953833958131085068999D+00  0.3314835596572254683422897870D+01
 0.2222256320631315951175110968D+01 -0.7916188850994852366227405582D+01
-0.4003339209622163608059963735D+01  0.1413683668001613469300536963D+02
 0.4110272508722487394550171302D+01 -0.1446961592839656596254371834D+02
-0.1199643356214131806368808353D-03  0.8687877436338162966469877979D-03
-0.2894768448129374140836977958D-02 -0.4443543394913507596499790964D-02
 0.1330999771591245784893575710D-03 -0.2231884172922980790268465690D-03
-0.4262481460877887325111590400D-05  0.2795153213085328769427206907D-05
 0.4219187175725515846769209105D-05  0.3108854729717488996065810625D-06
 0.1062264485427962847075011865D-04  0.1369096315157212811683407061D-04
 0.4146666420199200328577937569D-06 -0.4978636017050649779924764715D-05
 0.3698289325919975473189182935D-04  0.3330357635400200272401960433D-05
-0.2281985676920447039193453817D-05 -0.1503216116298095159000552945D-04
-0.2526719796403303843097820636D-05  0.3563035957810940356632611881D-05
-0.9441002945254039471680712614D-06  0.9224818579257280243277605791D-06
-0.1420753620183360689532836574D-04  0.4258181688600293744728642054D-04
-0.1769317513503402655413235256D-04  0.9304685652698969130364181623D-06
 0.1247302883122716060659840309D-04 -0.3324663719621225727030022767D-05
-0.1809091670878240848754914261D-04 -0.1055837070676174502172756098D-04
-0.7458181112131542799849326375D-04  0.2889489000458194621059546114D-04
 0.1192913156205046600055741379D-04 -0.2577148939544231069642687970D-04
 0.3030418122041591676846250536D-03 -0.2555712517112470705087090561D-03
-0.2051934449425425743829265457D-02 -0.4178088600649978263598671724D-03
 0.2443582470671295798873845495D-03  0.1228553656698630307253505833D-01
 0.2517364314002549369186922945D-01 -0.8433201462083582747308874161D-02
 0.1688396260833941939227820228D-01  0.1500800583321990153834457615D-03
 0.6072346972608407000837615897D-01  0.1058629298385999582821082043D-01
-0.6551756478150968510121288091D+00 -0.1690509948944917961721756683D+00
 0.3577205043152531516170711257D+01  0.1075121166098750746797918509D+01
-0.1321226879047421753909929976D+02 -0.3958704598007272146276136482D+01
 0.3918845541540662225088453852D+02  0.1163321958731084926341736718D+02
-0.9333043572110598518065671669D+02 -0.2733830033260645464565641305D+02
 0.1664367449537469099141162587D+03  0.4924319298864369898183213081D+02
-0.1702237350049646522620605538D+03 -0.5056023640091812154651051969D+02
 0.3084277161097817576695945263D-01  0.7869716846083177341775183322D-01
 0.2119758255608865105124039019D+00 -0.5382385537511173538571807029D-03
-0.5151734983713355392476174188D-02  0.3448096470155825876702238020D-01
 0.1785763292497861108587553503D-02 -0.1907098648368653337481504195D-02
-0.2046080211980730312326670628D-02  0.7622063661439776316441907511D-03
-0.6033107171880255914508950355D-02  0.2489366845401001782089878134D-01
 0.3796965146519492087517910761D-03  0.2535749761828170328881171258D-02
-0.2318933487040049368221872328D-01 -0.2198872098699067301197374036D-02
 0.5742534007389940749199741532D-02  0.6540852569349046852220652681D-02
 0.9225282330179293208138879834D-03 -0.2054560926675830234700015353D-02
