 4  2  -1  2.4  (-0-0.04733372793262749j)
 4  2  +1  2.4  (-0-0.04733372793262749j)
 4  2  -1  1.9  0.23181788714419774j
 4  2  +1  1.9  0.23181788714419774j
 2  1  -1  1.373  0.8909262600238024
 2  1  +1  1.373  -0.8909262600238024
 3  1  -1  2.95  -0.04072935059634513
 3  1  +1  2.95  0.04072935059634513
 4  1  -1  2.95  -0.18908035328928283
 4  1  +1  2.95  0.18908035328928283
 7  3  -1  2.9  0.03769586250505485
 7  3  +1  2.9  -0.03769586250505485
 7  3  -3  2.9  -0.048613591206575144
 7  3  +3  2.9  0.048613591206575144
