 0.1545557052305721220170271236D-05 -0.4583467145196823636748553656D-06
 0.3119878076481427339478741390D-04  0.1421258714493150419899431675D-04
-0.8731602266295359471683437680D-05  0.1500095570161160623645722062D-04
 0.3957168340099381446787769195D-05 -0.1052755086873319582719014595D-05
-0.9162472928057827781375341281D-05  0.1569599843845116679866801002D-04
 0.5283206166773853754473587452D-05 -0.1675083995262340933450097291D-04
 0.1463769679891016239838170965D-04 -0.1007166003327433312451028025D-03
 0.1911179382071286384729008612D-03 -0.1302379785443971303617732849D-03
-0.2793076289017378845136452270D-06 -0.3667365355480662009266673573D-06
 0.5487891260955261377705617643D-06  0.3654852709253691682168277075D-06
-0.1855681135666256307767407741D-02  0.6126478768579786057801861432D-03
 0.6043416695568341871931932613D-05 -0.1802054800238311633043403193D-04
-0.4738823585132063189720094676D-05  0.1799762386491752643859578543D-05
 0.4694994681213854580961383767D-04 -0.5615696143838938743115402064D-04
 0.3712188419032231168764868201D-03 -0.8120977628750698784632078286D-03
 0.4484551062491946328558700685D-02  0.2050310687787687980582207459D-02
 0.4215963263241266113789951220D-02 -0.1052588201067180054271155143D-01
 0.1526408621611040176968554505D-01  0.1458517989393948166565451174D-01
 0.2703469738234320907110941334D+00 -0.2307634297849270876845650946D+00
-0.1582814223578413503901174408D+01  0.1472145729037535710759243557D+01
 0.6142738324250302639484289102D+01 -0.5696467298415349489459913457D+01
-0.1992114224900220875724698999D+02  0.1861633923760557962623352068D+02
 0.5992296502036203520447088522D+02 -0.5660120698732851707291047205D+02
-0.1764442731709616509760962799D+03  0.1664229156064943992987537058D+03
 0.5095854527286346069558931049D+03 -0.4811726359065143583393364679D+03
-0.1445031195350092957596643828D+04  0.1365813119154690411960473284D+04
 0.3975862087809701733931433409D+04 -0.3758477982645865722588496283D+04
-0.1022956547557407247950322926D+05  0.9669709826270873236353509128D+04
 0.2233571845378130092285573483D+05 -0.2111352887306018237723037601D+05
-0.3106714101080050386372022331D+05  0.2936963890807998905074782670D+05
-0.4376324463200496131464150955D-06  0.5415965066520264384333717585D-06
-0.1024613430658853315598916245D-03 -0.3808846432848025226596683224D-04
 0.1739755397967614417172564634D-04  0.2235813703046341779966457719D-04
 0.7179402803190831794280350742D-06  0.1913775584865387883407722436D-06
 0.4628482593467743968693433460D-05  0.1577984833664280832094678475D-04
-0.2054563020139789630011742383D-04 -0.2504699001977060132196131748D-04
-0.4270213832783587205475447912D-04  0.1554919962209054713764277977D-03
 0.5819166332346076839568405070D-03  0.3999970596516215048769893325D-04
-0.2010205624331515891073385305D-07  0.2062048749608491138383264962D-06
 0.1629172917321811020377290979D-06 -0.4185562728473652885493802578D-07
