 0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 0.10000000E-01  0.36251870E-12  0.00000000E+00  0.31695990E-11  0.00000000E+00  0.13914080E-10  0.00000000E+00
 0.20000000E-01  0.11576260E-10  0.00000000E+00  0.10121190E-09  0.00000000E+00  0.44428900E-09  0.00000000E+00
 0.30000000E-01  0.87731270E-10  0.00000000E+00  0.76700700E-09  0.00000000E+00  0.33667160E-08  0.00000000E+00
 0.40000000E-01  0.36895210E-09  0.00000000E+00  0.32254440E-08  0.00000000E+00  0.14156600E-07  0.00000000E+00
 0.50000000E-01  0.11236610E-08  0.00000000E+00  0.98225010E-08  0.00000000E+00  0.43341770E-07  0.00000000E+00
 0.60000000E-01  0.27903130E-08  0.00000000E+00  0.24615710E-07  0.00000000E+00  0.10767650E-06  0.00000000E+00
 0.70000000E-01  0.60185870E-08  0.00000000E+00  0.53177710E-07  0.00000000E+00  0.23221960E-06  0.00000000E+00
 0.80000000E-01  0.11710040E-07  0.00000000E+00  0.10349220E-06  0.00000000E+00  0.45168940E-06  0.00000000E+00
 0.90000000E-01  0.21058200E-07  0.00000000E+00  0.18610440E-06  0.00000000E+00  0.81199440E-06  0.00000000E+00
 0.10000000E+00  0.35588160E-07  0.00000000E+00  0.31447570E-06  0.00000000E+00  0.13717240E-05  0.00000000E+00
 0.11000000E+00  0.57228780E-07  0.00000000E+00  0.50532730E-06  0.00000000E+00  0.22036070E-05  0.00000000E+00
 0.12000000E+00  0.88256760E-07  0.00000000E+00  0.77897490E-06  0.00000000E+00  0.33959290E-05  0.00000000E+00
 0.13000000E+00  0.13142810E-06  0.00000000E+00  0.11596570E-05  0.00000000E+00  0.50539270E-05  0.00000000E+00
 0.14000000E+00  0.18998270E-06  0.00000000E+00  0.16758580E-05  0.00000000E+00  0.73011330E-05  0.00000000E+00
 0.15000000E+00  0.26768160E-06  0.00000000E+00  0.23606200E-05  0.00000000E+00  0.10280690E-04  0.00000000E+00
 0.16000000E+00  0.36884330E-06  0.00000000E+00  0.32518570E-05  0.00000000E+00  0.14156640E-04  0.00000000E+00
 0.17000000E+00  0.49837970E-06  0.00000000E+00  0.43926510E-05  0.00000000E+00  0.19115110E-04  0.00000000E+00
 0.18000000E+00  0.66183110E-06  0.00000000E+00  0.58315520E-05  0.00000000E+00  0.25365590E-04  0.00000000E+00
 0.19000000E+00  0.86540050E-06  0.00000000E+00  0.76228640E-05  0.00000000E+00  0.33142000E-04  0.00000000E+00
 0.20000000E+00  0.11159880E-05  0.00000000E+00  0.98269230E-05  0.00000000E+00  0.42703830E-04  0.00000000E+00
 0.21000000E+00  0.14212240E-05  0.00000000E+00  0.12510380E-04  0.00000000E+00  0.54337240E-04  0.00000000E+00
 0.22000000E+00  0.17895030E-05  0.00000000E+00  0.15746450E-04  0.00000000E+00  0.68356000E-04  0.00000000E+00
 0.23000000E+00  0.22300120E-05  0.00000000E+00  0.19615190E-04  0.00000000E+00  0.85102530E-04  0.00000000E+00
 0.24000000E+00  0.27527670E-05  0.00000000E+00  0.24203750E-04  0.00000000E+00  0.10494880E-03  0.00000000E+00
 0.25000000E+00  0.33686410E-05  0.00000000E+00  0.29606600E-04  0.00000000E+00  0.12829720E-03  0.00000000E+00
 0.26000000E+00  0.40893960E-05  0.00000000E+00  0.35925770E-04  0.00000000E+00  0.15558130E-03  0.00000000E+00
 0.27000000E+00  0.49277120E-05  0.00000000E+00  0.43271090E-04  0.00000000E+00  0.18726690E-03  0.00000000E+00
 0.28000000E+00  0.58972160E-05  0.00000000E+00  0.51760420E-04  0.00000000E+00  0.22385230E-03  0.00000000E+00
 0.29000000E+00  0.70125100E-05  0.00000000E+00  0.61519820E-04  0.00000000E+00  0.26586950E-03  0.00000000E+00
 0.30000000E+00  0.82892020E-05  0.00000000E+00  0.72683800E-04  0.00000000E+00  0.31388430E-03  0.00000000E+00
 0.31000000E+00  0.97439280E-05  0.00000000E+00  0.85395490E-04  0.00000000E+00  0.36849720E-03  0.00000000E+00
 0.32000000E+00  0.11394390E-04  0.00000000E+00  0.99806830E-04  0.00000000E+00  0.43034400E-03  0.00000000E+00
 0.33000000E+00  0.13259360E-04  0.00000000E+00  0.11607880E-03  0.00000000E+00  0.50009590E-03  0.00000000E+00
 0.34000000E+00  0.15358730E-04  0.00000000E+00  0.13438140E-03  0.00000000E+00  0.57846020E-03  0.00000000E+00
 0.35000000E+00  0.17713540E-04  0.00000000E+00  0.15489420E-03  0.00000000E+00  0.66618070E-03  0.00000000E+00
 0.36000000E+00  0.20345960E-04  0.00000000E+00  0.17780600E-03  0.00000000E+00  0.76403770E-03  0.00000000E+00
 0.37000000E+00  0.23279360E-04  0.00000000E+00  0.20331540E-03  0.00000000E+00  0.87284850E-03  0.00000000E+00
 0.38000000E+00  0.26538320E-04  0.00000000E+00  0.23163080E-03  0.00000000E+00  0.99346740E-03  0.00000000E+00
 0.39000000E+00  0.30148650E-04  0.00000000E+00  0.26297020E-03  0.00000000E+00  0.11267860E-02  0.00000000E+00
 0.40000000E+00  0.34137390E-04  0.00000000E+00  0.29756200E-03  0.00000000E+00  0.12737340E-02  0.00000000E+00
 0.41000000E+00  0.38532880E-04  0.00000000E+00  0.33564450E-03  0.00000000E+00  0.14352760E-02  0.00000000E+00
 0.42000000E+00  0.43364730E-04  0.00000000E+00  0.37746620E-03  0.00000000E+00  0.16124180E-02  0.00000000E+00
